city,price,area,house type,rooms,bars,furniture,lift,parking,air condition
רמת גן,2790000,90,דו משפחתי,4,1,0,0, חניה משותפת, בחדרים ובסלון
רמת גן,2750000,90,בית פרטי,4,1,0,0, אין, בחדרים ובסלון
תל אביב יפו,13000000,157,דופלקס,6,0,0,1, פרטית - לא מקורה, בחדרים
תל אביב יפו,1350000,57,דירה,2.5,1,1,0, ברחוב, בחדרים ובסלון
באר שבע,1570000,160,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
וירושלים,3600000,160,דופלקס,6,0,1,0, פרטית - מקורה, בחדרים ובסלון
באר שבע,960000,96,דירה,4,1,1,0, חניה משותפת, בחדרים ובסלון
תל אביב יפו,2450000,100,דירה,3,1,1,0, רחבה ציבורית, בחדרים
ירושלים,16800000,678,וילה,6,0,0,1, פרטית - מקורה, בחדרים ובסלון
אשדוד,1750000,112,דירה,4,1,1,1, אין, בחדרים ובסלון
נהריה,2650000,333,בית פרטי,9,1,0,0, פרטית - לא מקורה, בחדרים ובסלון
תל אביב יפו,5700000,200,דירה,5,0,0,0, אין, אין
חיפה,950000,90,דירה,4,0,0,0, אין, בחדרים ובסלון
רחובות,2230000,110,דירה,4,1,1,1, פרטית - מקורה, מיני מרכזי
רחובות,1740000,105,דירה,4,1,1,1, פרטית - לא מקורה, מיני מרכזי
גבעת שמואל,5300000,177,דירת גג,6,0,0,1, פרטית - מקורה, מיזוג מרכזי
חדרה,1400000,116,דירה,3.5,0,0,0, אין, בחדרים ובסלון
גבעת שמואל,2800000,132,דירה,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
אור עקיבא,2000000,120,דירה,5.5,0,0,1, פרטית - מקורה, מיזוג מרכזי
תל אביב יפו,3000000,65,דירה,2.5,0,0,0, אין, בחדרים ובסלון
פתח תקווה,0,140,דירה,5,1,1,1, פרטית - מקורה, מיני מרכזי
חיפה,780000,68,דירה,4,1,0,0, אין, אין
רמת גן,1450000,55,דירה,2,0,0,0, רחבה ציבורית, בחדרים ובסלון
גן יבנה,6830000,2211,מגרש למגורים,1,0,0,0, אין, אין
כפר תבור,3100000,70,בית פרטי,2.5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
