	city	neighborhood	price	house type	house_area	garden_area	rooms	balconies	air_condition	parking	protected_room	elevator	sun_balcony	renovated	furniture	accessibility	bars	storage
0	Tel Aviv Jaffa	אזורי חן	5300000.0	apartment	109.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
1	Tel Aviv Jaffa	הקריה	3000000.0	apartment	50.0	0.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
2	Tel Aviv Jaffa	רמת אביב ג	3950000.0	apartment	95.0	0.0	3.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
3	Tel Aviv Jaffa	התקווה	2200000.0	private house	70.0	0.0	3.5	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
4	Tel Aviv Jaffa	פלורנטין	1960000.0	apartment	40.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	Tel Aviv Jaffa	הקריה	4600000.0	apartment	102.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
6	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	5550000.0	apartment	105.0	0.0	4.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
7	Tel Aviv Jaffa	פלורנטין	3350000.0	apartment	70.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
8	Tel Aviv Jaffa	לב תל אביב החלק הדרומי	2480000.0	apartment	74.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
9	Tel Aviv Jaffa	הדר יוסף	4250000.0	apartment	125.0	0.0	4.5	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
10	Tel Aviv Jaffa	הצפון הישן החלק הצפוני	3100000.0	apartment	56.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
11	Tel Aviv Jaffa	קרית שלום	2490000.0	apartment	100.0	0.0	4.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0
12	Tel Aviv Jaffa	התקווה	1980000.0	apartment	75.0	0.0	3.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
13	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	5700000.0	apartment	120.0	0.0	4.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
14	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	6750000.0	apartment	130.0	0.0	5.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
15	Tel Aviv Jaffa	הצפון החדש החלק הדרומי	3599000.0	apartment	72.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
16	Tel Aviv Jaffa	קרית שלום	2950000.0	garden apartment	156.0	70.0	3.5	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0
17	Tel Aviv Jaffa	קרית שלום	3600000.0	garden apartment	190.0	90.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
18	Tel Aviv Jaffa	קרית שלום	2050000.0	apartment	85.0	0.0	4.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
19	Tel Aviv Jaffa	הצפון הישן החלק הצפוני	4200000.0	apartment	84.0	0.0	2.5	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
20	Tel Aviv Jaffa	נוה אביבים	3500000.0	apartment	83.0	0.0	3.5	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
21	Tel Aviv Jaffa	לב תל אביב החלק הדרומי	1230000.0	apartment	44.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
22	Tel Aviv Jaffa	הגוש הגדול	4600000.0	apartment	125.0	0.0	5.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
23	Tel Aviv Jaffa	פלורנטין	2680000.0	apartment	66.0	0.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
24	Tel Aviv Jaffa	אזורי חן	5500000.0	apartment	106.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
25	Tel Aviv Jaffa	הצפון הישן החלק הדרום מערבי	6800000.0	penthouse	189.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
26	Tel Aviv Jaffa	לב תל אביב החלק הצפוני	7250000.0	apartment	140.0	0.0	5.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
27	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	7000000.0	apartment	142.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
28	Tel Aviv Jaffa	קרית שלום	2090000.0	apartment	85.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0
29	Tel Aviv Jaffa	אזורי חן	4200000.0	apartment	101.0	0.0	3.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
30	Tel Aviv Jaffa	הדר יוסף	6340000.0	daul faimly	435.0	170.0	8.0	3.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
31	Tel Aviv Jaffa	הדר יוסף	5900000.0	private house	280.0	140.0	7.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
32	Tel Aviv Jaffa	התקווה	2450000.0	penthouse	150.0	0.0	4.5	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
33	Tel Aviv Jaffa	קרית שלום	2500000.0	apartment	85.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
34	Tel Aviv Jaffa	יד אליהו	2500000.0	apartment	80.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
35	Tel Aviv Jaffa	הצפון הישן החלק הצפוני	5990000.0	apartment	86.0	0.0	3.5	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
36	Tel Aviv Jaffa	לב תל אביב החלק הצפוני	10350000.0	duplex	190.0	0.0	4.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
37	Tel Aviv Jaffa	הצפון הישן החלק המרכזי	6200000.0	apartment	118.0	0.0	3.5	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
38	Tel Aviv Jaffa	נוה שאנן	2740000.0	apartment	73.0	0.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
39	Tel Aviv Jaffa	התקווה	1950000.0	apartment	100.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
40	Tel Aviv Jaffa	נוה שאנן	2320000.0	apartment	60.0	0.0	3.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
41	Tel Aviv Jaffa	הדר יוסף	2850000.0	apartment	70.0	0.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
42	Tel Aviv Jaffa	קרית שלום	3090000.0	apartment	90.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
43	Tel Aviv Jaffa	פלורנטין	1800000.0	apartment	100.0	0.0	3.5	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
44	Tel Aviv Jaffa	התקווה	2000000.0	penthouse	120.0	0.0	2.5	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
45	Tel Aviv Jaffa	קרית שלום	2600000.0	apartment	100.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
46	Tel Aviv Jaffa	הצפון החדש סביבת ככר המדינה	8500000.0	duplex	200.0	0.0	4.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
47	Tel Aviv Jaffa	הצפון הישן החלק המרכזי	6990000.0	garden apartment	125.0	25.0	4.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0
48	Tel Aviv Jaffa	נוה שאנן	1860000.0	apartment	60.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
